;;NE;Start;End;X1 Average User Number ;X2 L.DLPwr.Avg;Y L.UL.Interference.Avg;X3 RA Success Rate;X4 RRC Setup Success Rate (Service);X5 TA Mean
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 02:00;16.05.2023 03:00;41,9172;41,2;-117;94,8528;99,9866;0,8209
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 03:00;16.05.2023 04:00;39,5553;40,9;-117;96,4022;100;0,8359
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 04:00;16.05.2023 05:00;43,0511;41,4;-117;94,3818;99,9869;0,8716
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 05:00;16.05.2023 06:00;21,1042;40,8;-116;93,0693;100;0,93
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 06:00;16.05.2023 07:00;16,0775;41,3;-117;95,4877;99,9522;0,9724
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 07:00;16.05.2023 08:00;31,4419;42,9;-117;91,5721;100;0,8723
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 08:00;16.05.2023 09:00;39,8181;44,3;-116;93,9053;100;0,9488
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 09:00;16.05.2023 10:00;38,3397;44,8;-116;93,3285;100;0,9274
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 10:00;16.05.2023 11:00;30,4078;46,2;-117;89,3053;100;0,9919
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 11:00;16.05.2023 12:00;32,0561;45,1;-117;93,6029;100;0,9213
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 12:00;16.05.2023 13:00;36,1733;44,6;-117;92,296;100;0,9189
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 13:00;16.05.2023 14:00;26,5183;46,3;-117;88,1882;99,9593;0,9555
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 14:00;16.05.2023 15:00;27,6886;45,9;-117;88,9913;100;0,9325
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 15:00;16.05.2023 16:00;35,6808;47,1;-116;91,2875;99,9067;0,9046
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 16:00;16.05.2023 17:00;42,0706;46,9;-116;91,0396;100;0,8746
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 17:00;16.05.2023 18:00;31,0867;47,3;-115;89,698;99,8835;0,9741
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 18:00;16.05.2023 19:00;33,185;47;-116;92,8656;100;1,0053
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 19:00;16.05.2023 20:00;37,7967;46,9;-117;91,4328;99,9699;0,9221
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 20:00;16.05.2023 21:00;44,5925;47,3;-117;92,363;100;0,9032
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 21:00;16.05.2023 22:00;40,1067;47,4;-117;87,8363;100;0,9251
